ProductKey,Product Code,Product Name,Product Model Name,Product Category Name,Product Subcategory Name,Product Colour,Product Size,Product Line,Product Status,Product Description
250,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Components,Road Frames,Red,56,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
251,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Components,Road Frames,Red,56,"R ",Outdate,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
252,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Components,Road Frames,Red,56,"R ",Current,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
253,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,Components,Road Frames,Black,58,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
254,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,Components,Road Frames,Black,58,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
255,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,Components,Road Frames,Black,58,"R ",Current,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
256,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,Components,Road Frames,Black,60,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
257,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,Components,Road Frames,Black,60,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
258,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,Components,Road Frames,Black,60,"R ",Current,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
259,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,Components,Road Frames,Black,62,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
260,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,Components,Road Frames,Black,62,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
261,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,Components,Road Frames,Black,62,"R ",Current,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
262,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,Components,Road Frames,Red,44,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
263,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,Components,Road Frames,Red,44,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
264,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,Components,Road Frames,Red,48,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
265,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,Components,Road Frames,Red,48,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
266,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,Components,Road Frames,Red,52,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
267,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,Components,Road Frames,Red,52,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
268,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,Components,Road Frames,Red,58,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
269,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,Components,Road Frames,Red,58,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
270,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,Components,Road Frames,Red,60,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
271,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,Components,Road Frames,Red,60,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
272,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,Components,Road Frames,Red,62,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
273,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,Components,Road Frames,Red,62,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
274,FR-R72R-44,"ML Road Frame - Red, 44",ML Road Frame,Components,Road Frames,Red,44,"R ",Outdate,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
275,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,Components,Road Frames,Red,48,"R ",Outdate,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
276,FR-R72R-52,"ML Road Frame - Red, 52",ML Road Frame,Components,Road Frames,Red,52,"R ",Outdate,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
277,FR-R72R-58,"ML Road Frame - Red, 58",ML Road Frame,Components,Road Frames,Red,58,"R ",Outdate,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
278,FR-R72R-60,"ML Road Frame - Red, 60",ML Road Frame,Components,Road Frames,Red,60,"R ",Outdate,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
279,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,Components,Road Frames,Black,44,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
280,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,Components,Road Frames,Black,44,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
281,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,Components,Road Frames,Black,44,"R ",Current,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
282,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,Components,Road Frames,Black,48,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
283,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,Components,Road Frames,Black,48,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
284,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,Components,Road Frames,Black,48,"R ",Current,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
285,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,Components,Road Frames,Black,52,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
286,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,Components,Road Frames,Black,52,"R ",Outdate,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
287,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,Components,Road Frames,Black,52,"R ",Current,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
288,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Components,Mountain Frames,Silver,42,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
289,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Components,Mountain Frames,Silver,42,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
290,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Components,Mountain Frames,Silver,42,"M ",Current,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
291,FR-M94S-44,"HL Mountain Frame - Silver, 44",HL Mountain Frame,Components,Mountain Frames,Silver,44,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
292,FR-M94S-52,"HL Mountain Frame - Silver, 48",HL Mountain Frame,Components,Mountain Frames,Silver,48,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
293,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Components,Mountain Frames,Silver,46,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
294,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Components,Mountain Frames,Silver,46,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
295,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Components,Mountain Frames,Silver,46,"M ",Current,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
296,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Components,Mountain Frames,Black,42,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
297,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Components,Mountain Frames,Black,42,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
298,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Components,Mountain Frames,Black,42,"M ",Current,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
299,FR-M94B-44,"HL Mountain Frame - Black, 44",HL Mountain Frame,Components,Mountain Frames,Black,44,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
300,FR-M94B-48,"HL Mountain Frame - Black, 48",HL Mountain Frame,Components,Mountain Frames,Black,48,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
301,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Components,Mountain Frames,Black,46,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
302,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Components,Mountain Frames,Black,46,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
303,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Components,Mountain Frames,Black,46,"M ",Current,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
304,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Components,Mountain Frames,Black,38,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
305,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Components,Mountain Frames,Black,38,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
306,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Components,Mountain Frames,Black,38,"M ",Current,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
307,FR-M94S-38,"HL Mountain Frame - Silver, 38",HL Mountain Frame,Components,Mountain Frames,Silver,38,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
308,FR-M94S-38,"HL Mountain Frame - Silver, 38",HL Mountain Frame,Components,Mountain Frames,Silver,38,"M ",Outdate,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
309,FR-M94S-38,"HL Mountain Frame - Silver, 38",HL Mountain Frame,Components,Mountain Frames,Silver,38,"M ",Current,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
310,BK-R93R-62,"Road-150 Red, 62",Road-150,Bikes,Road Bikes,Red,62,"R ",Outdate,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
311,BK-R93R-44,"Road-150 Red, 44",Road-150,Bikes,Road Bikes,Red,44,"R ",Outdate,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
312,BK-R93R-48,"Road-150 Red, 48",Road-150,Bikes,Road Bikes,Red,48,"R ",Outdate,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
313,BK-R93R-52,"Road-150 Red, 52",Road-150,Bikes,Road Bikes,Red,52,"R ",Outdate,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
314,BK-R93R-56,"Road-150 Red, 56",Road-150,Bikes,Road Bikes,Red,56,"R ",Outdate,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
315,BK-R68R-58,"Road-450 Red, 58",Road-450,Bikes,Road Bikes,Red,58,"R ",Outdate,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
316,BK-R68R-60,"Road-450 Red, 60",Road-450,Bikes,Road Bikes,Red,60,"R ",Outdate,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
317,BK-R68R-44,"Road-450 Red, 44",Road-450,Bikes,Road Bikes,Red,44,"R ",Outdate,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
318,BK-R68R-48,"Road-450 Red, 48",Road-450,Bikes,Road Bikes,Red,48,"R ",Outdate,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
319,BK-R68R-52,"Road-450 Red, 52",Road-450,Bikes,Road Bikes,Red,52,"R ",Outdate,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
320,BK-R50R-58,"Road-650 Red, 58",Road-650,Bikes,Road Bikes,Red,58,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
321,BK-R50R-58,"Road-650 Red, 58",Road-650,Bikes,Road Bikes,Red,58,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
322,BK-R50R-60,"Road-650 Red, 60",Road-650,Bikes,Road Bikes,Red,60,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
323,BK-R50R-60,"Road-650 Red, 60",Road-650,Bikes,Road Bikes,Red,60,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
324,BK-R50R-62,"Road-650 Red, 62",Road-650,Bikes,Road Bikes,Red,62,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
325,BK-R50R-62,"Road-650 Red, 62",Road-650,Bikes,Road Bikes,Red,62,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
326,BK-R50R-44,"Road-650 Red, 44",Road-650,Bikes,Road Bikes,Red,44,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
327,BK-R50R-44,"Road-650 Red, 44",Road-650,Bikes,Road Bikes,Red,44,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
328,BK-R50R-48,"Road-650 Red, 48",Road-650,Bikes,Road Bikes,Red,48,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
329,BK-R50R-48,"Road-650 Red, 48",Road-650,Bikes,Road Bikes,Red,48,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
330,BK-R50R-52,"Road-650 Red, 52",Road-650,Bikes,Road Bikes,Red,52,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
331,BK-R50R-52,"Road-650 Red, 52",Road-650,Bikes,Road Bikes,Red,52,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
332,BK-R50B-58,"Road-650 Black, 58",Road-650,Bikes,Road Bikes,Black,58,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
333,BK-R50B-58,"Road-650 Black, 58",Road-650,Bikes,Road Bikes,Black,58,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
334,BK-R50B-60,"Road-650 Black, 60",Road-650,Bikes,Road Bikes,Black,60,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
335,BK-R50B-60,"Road-650 Black, 60",Road-650,Bikes,Road Bikes,Black,60,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
336,BK-R50B-62,"Road-650 Black, 62",Road-650,Bikes,Road Bikes,Black,62,"R ",Outdate,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
